Questions,Answers,Pertanyaan_ID,Jawaban_ID
What does it mean to have a mental illness?,"Mental illnesses are health conditions that disrupt a personâ€™s thoughts, emotions, relationships, and daily functioning. They are associated with distress and diminished capacity to engage in the ordinary activities of daily life.
Mental illnesses fall along a continuum of severity: some are fairly mild and only interfere with some aspects of life, such as certain phobias. On the other end of the spectrum lie serious mental illnesses, which result in major functional impairment and interference with daily life. These include such disorders as major depression, schizophrenia, and bipolar disorder, and may require that the person receives care in a hospital.
It is important to know that mental illnesses are medical conditions that have nothing to do with a personâ€™s character, intelligence, or willpower. Just as diabetes is a disorder of the pancreas, mental illness is a medical condition due to the brainâ€™s biology.
Similarly to how one would treat diabetes with medication and insulin, mental illness is treatable with a combination of medication and social support. These treatments are highly effective, with 70-90 percent of individuals receiving treatment experiencing a reduction in symptoms and an improved quality of life. With the proper treatment, it is very possible for a person with mental illness to be independent and successful.",Apa artinya memiliki penyakit mental?,"Penyakit mental adalah kondisi kesehatan yang mengganggu pikiran, emosi, hubungan, dan fungsi seseorang.Mereka dikaitkan dengan kesusahan dan berkurangnya kapasitas untuk terlibat dalam kegiatan kehidupan sehari -hari yang biasa.
Penyakit mental jatuh di sepanjang rangkaian keparahan: beberapa cukup ringan dan hanya mengganggu beberapa aspek kehidupan, seperti fobia tertentu.Di ujung lain spektrum terletak penyakit mental yang serius, yang mengakibatkan gangguan fungsional utama dan gangguan dengan kehidupan sehari -hari.Ini termasuk gangguan seperti depresi berat, skizofrenia, dan gangguan bipolar, dan mungkin mengharuskan orang tersebut menerima perawatan di rumah sakit.
Penting untuk mengetahui bahwa penyakit mental adalah kondisi medis yang tidak ada hubungannya dengan karakter, kecerdasan, atau kemauan seseorang.Sama seperti diabetes adalah kelainan pankreas, penyakit mental adalah kondisi medis karena biologi otak.
Demikian pula dengan bagaimana seseorang akan mengobati diabetes dengan obat -obatan dan insulin, penyakit mental dapat diobati dengan kombinasi obat dan dukungan sosial.Perawatan ini sangat efektif, dengan 70-90 persen orang yang menerima pengobatan mengalami pengurangan gejala dan peningkatan kualitas hidup.Dengan perawatan yang tepat, sangat mungkin bagi orang dengan penyakit mental untuk mandiri dan sukses."
Who does mental illness affect?,"It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background.
Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children.
Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition.
Parents and caretakers should be aware of this fact, and take notice of changes in their childâ€™s mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs).",Siapa yang mempengaruhi penyakit mental?,"Diperkirakan bahwa penyakit mental mempengaruhi 1 dari 5 orang dewasa di Amerika, dan bahwa 1 dari 24 orang dewasa memiliki penyakit mental yang serius.Penyakit mental tidak membeda -bedakan;Ini dapat mempengaruhi siapa pun, terlepas dari jenis kelamin, usia, pendapatan, status sosial, etnis, agama, orientasi seksual, atau latar belakang.
Meskipun penyakit mental dapat mempengaruhi siapa pun, kondisi tertentu mungkin lebih umum pada populasi yang berbeda.Misalnya, gangguan makan cenderung terjadi lebih sering pada wanita, sementara gangguan seperti defisit perhatian/gangguan hiperaktif lebih lazim pada anak -anak.
Selain itu, segala usia rentan, tetapi yang muda dan yang tua sangat rentan.Penyakit mental biasanya mengejutkan individu dalam hidup mereka, dengan 75 persen kondisi kesehatan mental berkembang pada usia 24 tahun. Hal ini membuat identifikasi dan pengobatan gangguan mental sangat sulit, karena kepribadian normal dan perubahan perilaku remaja dapat menutupi gejala kondisi kesehatan mental.
Orang tua dan pengasuh harus menyadari fakta ini, dan memperhatikan perubahan dalam suasana hati, kepribadian, kebiasaan pribadi, dan penarikan sosial anak mereka.Ketika ini terjadi pada anak -anak di bawah 18 tahun, mereka disebut sebagai gangguan emosional yang serius (SED)."
What causes mental illness?,"It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their child’s mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs).",Apa yang menyebabkan penyakit mental?,"Diperkirakan bahwa penyakit mental mempengaruhi 1 dari 5 orang dewasa di Amerika, dan bahwa 1 dari 24 orang dewasa memiliki penyakit mental yang serius.Penyakit mental tidak membeda -bedakan;Ini dapat mempengaruhi siapa pun, terlepas dari jenis kelamin, usia, pendapatan, status sosial, etnis, agama, orientasi seksual, atau latar belakang.Meskipun penyakit mental dapat mempengaruhi siapa pun, kondisi tertentu mungkin lebih umum pada populasi yang berbeda.Misalnya, gangguan makan cenderung terjadi lebih sering pada wanita, sementara gangguan seperti defisit perhatian/gangguan hiperaktif lebih lazim pada anak -anak.Selain itu, segala usia rentan, tetapi yang muda dan yang tua sangat rentan.Penyakit mental biasanya mengejutkan individu dalam hidup mereka, dengan 75 persen kondisi kesehatan mental berkembang pada usia 24 tahun. Hal ini membuat identifikasi dan pengobatan gangguan mental sangat sulit, karena kepribadian normal dan perubahan perilaku remaja dapat menutupi gejala kondisi kesehatan mental.Orang tua dan pengasuh harus menyadari fakta ini, dan memperhatikan perubahan suasana hati, kepribadian, kebiasaan pribadi, dan penarikan sosial anak mereka.Ketika ini terjadi pada anak -anak di bawah 18 tahun, mereka disebut sebagai gangguan emosional yang serius (SED)."
What are some of the warning signs of mental illness?,"Symptoms of mental health disorders vary depending on the type and severity of the condition. The following is a list of general symptoms that may suggest a mental health disorder, particularly when multiple symptoms are expressed at once.
In adults:
Confused thinking
Long-lasting sadness or irritability
Extreme highs and lows in mood
Excessive fear, worrying, or anxiety
Social withdrawal
Dramatic changes in eating or sleeping habits
Strong feelings of anger
Delusions or hallucinations (seeing or hearing things that are not really there)
Increasing inability to cope with daily problems and activities
Thoughts of suicide
Denial of obvious problems
Many unexplained physical problems
Abuse of drugs and/or alcohol
  In older children and pre-teens:
Abuse of drugs and/or alcohol
Inability to cope with daily problems and activities
Changes in sleeping and/or eating habits
Excessive complaints of physical problems
Defying authority, skipping school, stealing, or damaging property
Intense fear of gaining weight
Long-lasting negative mood, often along with poor appetite and thoughts of death
Frequent outbursts of anger
  In younger children:
Changes in school performance
Poor grades despite strong efforts
Excessive worrying or anxiety
Hyperactivity
Persistent nightmares
Persistent disobedience and/or aggressive behavior
Frequent temper tantrums",Apa saja tanda -tanda peringatan penyakit mental?,"Gejala gangguan kesehatan mental bervariasi tergantung pada jenis dan tingkat keparahan kondisi tersebut.Berikut ini adalah daftar gejala umum yang mungkin menunjukkan gangguan kesehatan mental, terutama ketika gejala berganda diekspresikan sekaligus.
Pada orang dewasa:
Bingung berpikir
Kesedihan atau mudah marah yang tahan lama
Tinggi dan rendah dalam suasana hati
Ketakutan yang berlebihan, mengkhawatirkan, atau kecemasan
Penarikan sosial
Perubahan dramatis dalam kebiasaan makan atau tidur
Perasaan marah yang kuat
Delusi atau halusinasi (melihat atau mendengar hal -hal yang tidak benar -benar ada)
Meningkatkan ketidakmampuan untuk mengatasi masalah dan kegiatan sehari -hari
Pikiran bunuh diri
Penolakan masalah yang jelas
Banyak masalah fisik yang tidak dapat dijelaskan
Penyalahgunaan narkoba dan/atau alkohol
Pada anak yang lebih besar dan pra-remaja:
Penyalahgunaan narkoba dan/atau alkohol
Ketidakmampuan untuk mengatasi masalah dan aktivitas sehari -hari
Perubahan kebiasaan tidur dan/atau makan
Keluhan Masalah Fisik yang Berlebihan
Menentang otoritas, melewatkan sekolah, mencuri, atau merusak properti
Ketakutan yang intens untuk menambah berat badan
Suasana hati negatif yang tahan lama, seringkali bersama dengan nafsu makan yang buruk dan pikiran mati
Ledakan kemarahan yang sering
Pada anak kecil:
Perubahan kinerja sekolah
Nilai yang buruk meskipun ada upaya kuat
Kekhawatiran atau kecemasan yang berlebihan
Hiperaktif
Mimpi buruk yang gigih
Ketidaktaatan yang terus -menerus dan/atau perilaku agresif
Tantrum temperamen yang sering terjadi"
Can people with mental illness recover?,"When healing from mental illness, early identification and treatment are of vital importance. Based on the nature of the illness, there are a range of effective treatments available. For any type of treatment, it is essential that the person affected is proactive and fully engaged in their own recovery process.
Many people with mental illnesses who are diagnosed and treated respond well, although some might experience a return of symptoms. Even in such cases, with careful monitoring and management of the disorder, it is still quite possible to live a fulfilled and productive life.",Bisakah orang dengan penyakit mental pulih?,"Ketika penyembuhan dari penyakit mental, identifikasi dan pengobatan dini sangat penting.Berdasarkan sifat penyakit, ada berbagai perawatan efektif yang tersedia.Untuk semua jenis perawatan, penting bahwa orang yang terkena dampak proaktif dan sepenuhnya terlibat dalam proses pemulihan mereka sendiri.
Banyak orang dengan penyakit mental yang didiagnosis dan dirawat merespons dengan baik, meskipun beberapa mungkin mengalami kembalinya gejala.Bahkan dalam kasus seperti itu, dengan pemantauan dan pengelolaan gangguan yang cermat, masih sangat mungkin untuk menjalani kehidupan yang terpenuhi dan produktif."
What should I do if I know someone who appears to have the symptoms of a mental disorder?,"Although this website cannot substitute for professional advice, we encourage those with symptoms to talk to their friends and family members and seek the counsel of a mental health professional. The sooner the mental health condition is identified and treated, the sooner they can get on the path to recovery.
If you know someone who is having problems, don't assume that the issue will resolve itself. Let them know that you care about them, and that there are treatment options available that will help them heal. Speak with a mental health professional or counselor if you think your friend or family member is experiencing the symptoms of a mental health condition. If the affected loved one knows that you support them, they will be more likely to seek out help.",Apa yang harus saya lakukan jika saya mengenal seseorang yang tampaknya memiliki gejala gangguan mental?,"Meskipun situs web ini tidak dapat menggantikan nasihat profesional, kami mendorong mereka yang memiliki gejala untuk berbicara dengan teman dan anggota keluarga mereka dan mencari nasihat seorang profesional kesehatan mental.Semakin cepat kondisi kesehatan mental diidentifikasi dan dirawat, semakin cepat mereka bisa berada di jalan menuju pemulihan.
Jika Anda mengenal seseorang yang mengalami masalah, jangan berasumsi bahwa masalah itu akan sembuh sendiri.Biarkan mereka tahu bahwa Anda peduli pada mereka, dan ada pilihan perawatan yang tersedia yang akan membantu mereka sembuh.Bicaralah dengan seorang profesional atau penasihat kesehatan mental jika Anda pikir teman atau anggota keluarga Anda mengalami gejala kondisi kesehatan mental.Jika orang yang terkasih tahu bahwa Anda mendukung mereka, mereka akan lebih cenderung mencari bantuan."
How can I find a mental health professional for myself or my child?,Feeling comfortable with the professional you or your child is working with is critical to the success of the treatment. Finding the professional who best fits your needs may require research. Start by searching for providers in your area.,Bagaimana saya bisa menemukan profesional kesehatan mental untuk diri saya sendiri atau anak saya?,Merasa nyaman dengan profesional yang Anda atau anak Anda bekerja sama sangat penting untuk keberhasilan perawatan.Menemukan profesional yang paling sesuai dengan kebutuhan Anda mungkin memerlukan penelitian.Mulailah dengan mencari penyedia di daerah Anda.
What treatment options are available?,"Just as there are different types of medications for physical illness, different treatment options are available for individuals with mental illness. Treatment works differently for different people. It is important to find what works best for you or your child.",Pilihan perawatan apa yang tersedia?,"Sama seperti ada berbagai jenis obat untuk penyakit fisik, pilihan perawatan yang berbeda tersedia untuk individu dengan penyakit mental.Perawatan bekerja secara berbeda untuk orang yang berbeda.Penting untuk menemukan apa yang paling cocok untuk Anda atau anak Anda."
"If I become involved in treatment, what do I need to know?","Since beginning treatment is a big step for individuals and families, it can be very overwhelming. It is important to be as involved and engaged in the treatment process as possible. Some questions you will need to have answered include:
What is known about the cause of this particular illness?
Are there other diagnoses where these symptoms are common?
Do you normally include a physical or neurological examination?
Are there any additional tests or exams that you would recommend at this point?
Would you advise an independent opinion from another psychiatrist at this point?
What program of treatment is the most helpful with this diagnosis?
Will this program involve services by other specialists? If so, who will be responsible for coordinating these services?
What do you see as the familyâ€™s role in this program of treatment?
How much access will the family have to the individuals who are providing the treatment?
What medications are generally used with this diagnosis?
How much experience do you have in treating individuals with this illness?
What can I do to help you in the treatment?","Jika saya terlibat dalam perawatan, apa yang perlu saya ketahui?","Karena memulai perawatan adalah langkah besar bagi individu dan keluarga, itu bisa sangat luar biasa.Penting untuk terlibat dan terlibat dalam proses perawatan sebanyak mungkin.Beberapa pertanyaan yang perlu Anda jawab termasuk:
Apa yang diketahui tentang penyebab penyakit khusus ini?
Apakah ada diagnosis lain di mana gejala -gejala ini umum?
Apakah Anda biasanya memasukkan pemeriksaan fisik atau neurologis?
Apakah ada tes atau ujian tambahan yang akan Anda rekomendasikan pada saat ini?
Apakah Anda akan menyarankan pendapat independen dari psikiater lain saat ini?
Program pengobatan apa yang paling membantu dengan diagnosis ini?
Apakah program ini akan melibatkan layanan oleh spesialis lain?Jika demikian, siapa yang akan bertanggung jawab untuk mengoordinasikan layanan ini?
Apa yang Anda lihat sebagai peran keluarga dalam program perawatan ini?
Berapa banyak akses yang akan dimiliki keluarga kepada orang -orang yang menyediakan perawatan?
Obat apa yang umumnya digunakan dengan diagnosis ini?
Berapa banyak pengalaman yang Anda miliki dalam memperlakukan orang dengan penyakit ini?
Apa yang dapat saya lakukan untuk membantu Anda dalam perawatan?"
What is the difference between mental health professionals?,"There are many types of mental health professionals. The variety of providers and their services may be confusing. Each have various levels of education, training, and may have different areas of expertise. Finding the professional who best fits your needs may require some research.",Apa perbedaan antara profesional kesehatan mental?,"Ada banyak jenis profesional kesehatan mental.Variasi penyedia dan layanan mereka mungkin membingungkan.Masing -masing memiliki berbagai tingkat pendidikan, pelatihan, dan mungkin memiliki bidang keahlian yang berbeda.Menemukan profesional yang paling sesuai dengan kebutuhan Anda mungkin memerlukan penelitian."
